,address,type,balance
0,3Nxwenay9Z8Lc9JBiywExpnEFiLp6Afp8v,scripthash,16723181248748
1,3Kg7Cmooris7cLErTsijq6qR1FH3cTiK2G,scripthash,15799632935400
2,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,pubkeyhash,7995711266252
3,1HQ3Go3ggs8pFnXuHVHRytPCq5fGG8Hbhx,pubkeyhash,6937010477328
4,16ZbpCEyVVdqu8VycWR8thUL2Rd9JnjzHt,pubkeyhash,6665059559425
5,194DnvmLR2HULRvxUsVag8mn2fm7dA3U2B,pubkeyhash,6661230401788
6,1KiVwxEuGBYavyKrxkLncJt2pQ5YUUQX7f,pubkeyhash,6658322343894
7,1PnMfRF2enSZnR6JSexxBHuQnxG8Vo5FVK,pubkeyhash,6645206577139
8,1AhTjUMztCihiTyA4K6E3QEpobjWLwKhkR,pubkeyhash,6637880893466
9,1DiHDQMPFu4p84rkLn6Majj2LCZZZRQUaa,pubkeyhash,6623582379964
10,1EBHA1ckUWzNKN7BMfDwGTx6GKEbADUozX,pubkeyhash,6623373760462
11,14e7XAZbepQp9MXXzjNG3fNLoAUpaBAXHW,pubkeyhash,6620547325047
12,1PB4xXUFyy4kSNqroCBVaQuCuw9VcN3be4,pubkeyhash,6617069565917
13,18f1yugoAJuXcHAbsuRVLQC9TezJ6iVRLp,pubkeyhash,6616344481270
14,39coweGgC8CPZ6hYL1BBEfc1zqbSfHsprW,scripthash,6500021776778
15,3KBUuGko4H5ke7EVsq9B7PLK1c5Askdd7y,scripthash,5657799551004
16,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,pubkeyhash,5388005637196
17,16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,pubkeyhash,5100005753797
18,3HyULbPVM739jPVk4i3PKZ4LibhYP1HsLc,scripthash,5040373184604
19,1MuYkciQTfRsU94ReAe5MiAfUpCrbLBcFR,pubkeyhash,4486442468338
20,3LzDzKkatQRXuQ6UxTcWQLuwuhH5nt7TJc,scripthash,4078301923227
21,15CVfJUC1LKn1GKZx6RM5UMbFfnTd8vTT4,pubkeyhash,4000500201003
22,19Mz2o9RDABT74SA9njZqMtJXKEzj2qUoH,pubkeyhash,4000032554601
23,1M39YivicDwfXfv8ocStsoMpHsxKX5TmLZ,pubkeyhash,3628725941630
24,32GxivQN3VKtVEtgsH5uTWfXd5b2LkXyUZ,scripthash,3448852941483
25,3Ap6mixhHLmVtH41YHH94Ut4jBfmqRpzgQ,scripthash,3151127775105
26,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,pubkeyhash,3100005315620
27,323ENWgPNZdzsm2d6CzEaPTFrvavn1giv5,scripthash,3082850358380
28,13NNBop1ETfQQ78gC5q7dU8hXRRPVUwiRG,pubkeyhash,2900000012333
29,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,pubkeyhash,2815105169405
30,33VMRgxXZWgZGmGnGRZ9AEW8bZs8scMiY1,scripthash,2766762798291
31,3HZUwxZbYRef9oEuvSvjgVMyZ227Hur7ng,scripthash,2585000010000
32,3CqBquEFMYY548fNBz8u2MBw3HKprS3Xft,scripthash,2566818430647
33,1GyJbgzKwQasfdQQvYx7Tbyoi3mEJx2Qq7,pubkeyhash,2562491097466
34,1J7fmT3Wv62u4p6FuwbVJQXhQE3HiH4AQs,pubkeyhash,2548909229961
35,37x6JnDNhbsBw95bvEreB7WHWA74gGR17y,scripthash,2542561543848
36,1G1AndHMczVQYLGfYJzqkDjXrFifpMsTaZ,pubkeyhash,2540885571903
37,1JfoBz3smLAFxCMHXw155b4UE9FeYNBvCv,pubkeyhash,2537772247129
38,13cKZYW75zBPuW6xp8Pt5QTWFHQpXosP56,pubkeyhash,2530179527247
39,1AiqNnHDUCbS1tbVxDAyhLoDxT6C6yRRqq,pubkeyhash,2528676812225
40,153yuheqMotbbAxxXc8Ztwx73oSMyAB1wq,pubkeyhash,2527200957953
41,16zwBNCRkyBbTHyX25Fy3wkN44FxZdTy2d,pubkeyhash,2525575706590
