,address,type,year,balance
0,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,2009,6142462000000.0
1,1Ff2xcJtfWWiNRCTUuTng6TJQm3g8h61Y2,pubkeyhash,2009,2250000000000.0
2,1Ph1WL8gHPW1VShh55yJpRQE57wth6zSBm,pubkeyhash,2009,1595435000000.0
3,1MxR5zEtu4cq3Sm7AtfpvpLyJwf4f4kJBi,pubkey,2009,1000020000000.0
4,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,pubkeyhash,2009,800000000000.0
5,15J5MZxBkbo88hfHbY96UEDdWWtTJKTBgj,pubkeyhash,2009,550000000000.0
6,1N6cJEdLm7KSg1jRXTYKv7iYkRtzFLKNDH,pubkey,2009,225000000000.0
7,1NAauy83Upy9yYv5zjcjk4hwPRJWnzvX52,pubkeyhash,2009,105001000000.0
8,1PZwWEJe5YGx9bzJbEpgXiWLuWnyD2rjLA,pubkeyhash,2009,100000000000.0
9,137zjnSXZs7Wdhg8zCoAJHz3NPgX8WtPPv,pubkeyhash,2009,89565000000.0
10,1L2gKa3tPCVWaqS29eauXyCMKzkKLNfzKF,pubkeyhash,2009,85000000000.0
11,1P2ZAuW9nUrFfwgVjfL2SA9sPXSruCfzp8,pubkey,2009,80000000000.0
12,1EWbQNeNNiZcZyJcfQ6CQbnptHiU9pvVYr,pubkeyhash,2009,69850000000.0
13,15BKWJjL5YWXtaP449WAYqVYZQE1szicTn,pubkey,2009,55000000000.0
14,15oUEZFKAC8E8BTLt1s1jx4fPxumwB3ecr,pubkey,2009,50000000000.0
15,1PxeCXMZBuXHt4CqWWEQ7Kwgdyob9P955L,pubkey,2009,50000000000.0
16,1FBgZPF9ceV7JFDgvWzwJdPjdn6VFJqc5s,pubkey,2009,40000000000.0
17,1289VwTpSuBnGWbB2DFPaNB78jYqCQbamX,pubkey,2009,39900000000.0
18,1JSxDnLYD4XKTQ73N7in2M9XRovw5LANiu,pubkey,2009,35004000000.0
19,19QKDUJtx9n7Vaga6nX1bVHdsnT4Khfyi6,pubkey,2009,25000000000.0
20,1DCGxk3yoGbensojhxPsWJt3BEGDG5VrU8,pubkey,2009,25000000000.0
21,1NithGmSgUGQdsYg8gH8WEYtk1ZLxyJBDt,pubkeyhash,2009,22500000000.0
22,1LgXXqEzDa7E4RuZg8UuF15ru9Zur8j9GH,pubkeyhash,2009,20000000000.0
23,1JCeMgVeDzLdxz3G5vRin2ydNxUp6E5yFf,pubkey,2009,20000000000.0
24,1E87cVPLZ938w7vYEA1e9RWSc8mESPA3J5,pubkey,2009,19800000000.0
25,15Ct3RxjiM1rf6UWcy8G6KuKxv8QwfuyVZ,pubkey,2009,18800000000.0
26,1C3J4uWTdpc3NoJWsCqdpqEjSViyxRXkF,pubkey,2009,15000000000.0
27,1C16qVq3kZpfjCXAKvrrppqxNmRcnfbFdu,pubkey,2009,15000000000.0
28,1GicJdJjH8QSurn7XxGDkBGg5DooSbcTF3,pubkeyhash,2009,15000000000.0
29,1EQkvhEsewdmDuvNTSgvYafu79F8Q4B3CW,pubkey,2009,15000000000.0
30,1NBNWXmmMCi9ZSNeC6jwCYVw5gKYpfqUZi,pubkey,2009,15000000000.0
31,1CHE5JRfc5mr8ZtVUP7nnsS5HC4bWcXoc6,pubkeyhash,2009,11901000000.0
32,18L8V7DaFBjAbzF5rzmZqCym31KAbjDQXC,pubkey,2009,10000000000.0
33,133fZZzNNbHL5VSuCWrUkLW2oL9ZPJELbY,pubkey,2009,10000000000.0
34,1GZ274NgVCafuwK1LrnAirzKGt4FxENEqK,pubkeyhash,2009,10000000000.0
35,1tQt2rU1ZPp54nWdj7WtL8aK1vVLhnpsP,pubkey,2009,9999000000.0
36,1JuEjh9znXwqsy5RrnKqgzqY4Ldg7rnj5n,pubkeyhash,2009,8251000000.0
37,1BBz9Z15YpELQ4QP5sEKb1SwxkcmPb5TMs,pubkey,2009,6100000000.0
38,15pAxcnYHxT4Ljn4DG1RjKH2aUdxYMtXjg,pubkey,2009,5201000000.0
39,1GuZEDBkrfGfyKyTHRUVcdkeGCUDLrKbeT,pubkey,2009,5022000000.0
40,1GEYpSxwYTH9poKaYrY4g7WaRVqFtSWYVJ,pubkey,2009,5014000000.0
41,1JYcpi9aYTSv2TjNQ7vgFT76cVdgER4BPN,pubkey,2009,5012000000.0
42,1JRgRbqwfpg9esiHzTepjkQYn42D2dfon4,pubkey,2009,5012000000.0
43,1NCAAhBrDYVCMkZsJ7gicDuD1HS2qZeZd5,pubkey,2009,5010000000.0
