,address,type,balance
0,1FfmbHfnpaZjKFvyi1okTjJJusN455paPH,pubkeyhash,14434152165741
1,1933phfhK3ZgFQNLGSDXvqCn32k2buXY8a,pubkeyhash,11111460814044
2,17ewBhK712mY2E4uPAbinThibdY2LRyabd,pubkeyhash,8599300000000
3,1CbR8da9YPZqXJJKm9ze1GYf67eKAUfXwP,pubkeyhash,8000009603642
4,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,pubkeyhash,7995704672794
5,1HQ3Go3ggs8pFnXuHVHRytPCq5fGG8Hbhx,pubkeyhash,6947108904354
6,1GLEtzJ1H2zoGrUA4RMbRJam5UJSdrk6T2,pubkeyhash,5388004468192
7,16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,pubkeyhash,5300004461194
8,1P3S1grZYmcqYDuaEDVDYobJ5Fx85E9fE9,pubkeyhash,5000004291203
9,1MuYkciQTfRsU94ReAe5MiAfUpCrbLBcFR,pubkeyhash,4486420635335
10,16unci4w6erqKNFYAGYTVUyJUsXV9EUH28,pubkeyhash,4170000000000
11,1QAHVyRzkmD4j1pU5W89htZ3c6D6E7iWDs,pubkeyhash,4096957036392
12,14j6jLececs66ZQ8ew6vTFNiEn2NupacWJ,pubkeyhash,4000031473802
13,1cXNTyXj4xPGopfYZNY5xfSM1EPJJvBZV,pubkeyhash,4000004351803
14,12HddUDLhRP2F8JjpKYeKaDxxt5wUvx5nq,pubkeyhash,4000004246803
15,16Ls6azc76ixc9Ny7AB5ZPPq6oiEL9XwXy,pubkeyhash,4000004207013
16,15h6A2a3D31vRviBDdSpvhLtYJq3aePhdW,pubkeyhash,3953033599037
17,13Df4x5nQo7boLWHxQCbJzobN5gUNT65Hh,pubkeyhash,3901697000000
18,17UUsmejDsjJEtbRcotd289ADp7ZdanH5k,pubkeyhash,3699701202401
19,14o7zMMUJkG6De24r3JkJ6USgChq7iWF86,pubkeyhash,3600000000000
20,1BvX9foyn81QZbwyPFBK9SkeWJqWiYp4Tu,pubkeyhash,3590999848500
21,159SCycgn8weAy2XGUEhD6V1RTFni7E3iq,pubkeyhash,3440935919248
22,16ZbpCEyVVdqu8VycWR8thUL2Rd9JnjzHt,pubkeyhash,3269176537834
23,1KiVwxEuGBYavyKrxkLncJt2pQ5YUUQX7f,pubkeyhash,3216215521092
24,1PnMfRF2enSZnR6JSexxBHuQnxG8Vo5FVK,pubkeyhash,3156980860581
25,18f1yugoAJuXcHAbsuRVLQC9TezJ6iVRLp,pubkeyhash,3150105444537
26,13ssxUjmQqemuiBfJSBsr7gFX7UWU7uXNK,pubkeyhash,3134180047000
27,14e7XAZbepQp9MXXzjNG3fNLoAUpaBAXHW,pubkeyhash,3101492698903
28,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,pubkeyhash,3100004286904
29,1PB4xXUFyy4kSNqroCBVaQuCuw9VcN3be4,pubkeyhash,3090179773467
30,1ABS7zUZP76NjNYs9DLoWnKfZFTR7WLrAM,pubkeyhash,3055638993270
31,1EBHA1ckUWzNKN7BMfDwGTx6GKEbADUozX,pubkeyhash,3053997642476
32,1EECyYDrjCBk39f2gKSsbcXLpRWu5pu1MF,pubkeyhash,3050000056900
33,1DiHDQMPFu4p84rkLn6Majj2LCZZZRQUaa,pubkeyhash,3046045246836
34,194DnvmLR2HULRvxUsVag8mn2fm7dA3U2B,pubkeyhash,3045784104912
35,1MyGwFAJjVtB5rGJa32M6Yh46cGirUta1K,pubkeyhash,3000004196903
36,12tT4cSjRRsncwwv1YUKnbXuouaMfT5DnN,pubkeyhash,3000000276902
37,1F1tAaz5x1HUXrCNLbtMDqcw6o5GNn4xqX,pubkeyhash,2965853192136
38,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,pubkeyhash,2815004186902
39,14yDRQyQozHddRXZ6PsJGGWgCfBhxda1dS,pubkeyhash,2790488024157
40,1KWEd2K6XhFSQtN7wyCoyBMvutWiMe9tBq,pubkeyhash,2666765781042
41,1Kf33BbrJDuAVC91w9ACtRgf6KJrLWSkHV,pubkeyhash,2616704286903
42,12JXuXqTyHiQbXmEMZ9PQ6BJ5SrLo8De2t,pubkeyhash,2413917326902
43,1JsVdtXZHKnuzUihEjCPyRm5EEcxRjWGEh,pubkeyhash,2300000166902
44,1Gnhy34EBtz9ftQdGZooGTpVE6E9wL2VZN,pubkeyhash,2174400026900
45,12fZ2HxkLjG9zn1u44XYsFFYKHM4A2zCea,pubkeyhash,2084417066903
46,13NA7X1u18CgGa7RzTDyvuuoLJtLRvXgke,pubkeyhash,2071063545778
47,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,pubkeyhash,1941441389144
48,19vWUsLH7G6yQH484r3n1GodLEoLivWHJg,pubkeyhash,1802411747953
49,1GBospM4VzVx7JZDw4Fmeh59qbXG3LtsEy,pubkeyhash,1797500257280
50,1Gdciv8j4UXhph4eGDCFAWwp7KLvKKno79,pubkeyhash,1783600010000
51,1GgBrwZ6XWhJQYYcA2gV6HEG3AP1doFzHs,pubkeyhash,1700000046900
52,12WFth5HabiVrcj5waHtDP1b7gXSQPuDPz,pubkeyhash,1700000036900
53,15HNu6qbdqEE9tUbN6uHcDNJWWaBSEGZ7R,pubkeyhash,1650000026900
54,1PHzxXQE3JGvAyhLatSRhfD45pmdQEieFB,pubkeyhash,1506400010000
55,1CJBqJ3MwUVVNsqXpJx8Aecc3PWxSWPmUc,pubkeyhash,1500000066600
56,1LDWDufjU5ATbozDZY3uChb7oPAbDaiB7K,pubkeyhash,1500000046902
57,19tuxqhzgwC6B9hhLHDLJkocx8LaaCS56s,pubkeyhash,1450000146902
58,19ere2oJzJh81A5Q64SExDZYz54RvWHqZz,pubkeyhash,1428687036902
59,19MUDPGDMVMdT3JrV4i1XBcvDLffMBGD6F,pubkeyhash,1400000036901
60,1KX8EPDcziwbGaC7oDHDuKE9SfLWMmmbZy,pubkeyhash,1385000036902
