,address,type,year,balance
0,1933phfhK3ZgFQNLGSDXvqCn32k2buXY8a,pubkeyhash,2011,10555500000000.0
1,12WmWuSQCgpEkPQTZ4ABijQaz6TCV69ZpE,pubkeyhash,2011,10525888000000.0
2,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,pubkeyhash,2011,7995600100000.0
3,1PUR3qV3zKcGYXDhmT8o7ekCJP7hnSGzwj,pubkeyhash,2011,5500001000000.0
4,1LnyAwAn3QYQrte5eykMR29k6CkhTu4m4W,pubkeyhash,2011,5286360524842.0
5,1P3S1grZYmcqYDuaEDVDYobJ5Fx85E9fE9,pubkeyhash,2011,5000000000000.0
6,1DEpjpftLbsGiCJvJDp2F2quVRnymV8U5Q,pubkeyhash,2011,5000000000000.0
7,16tJXD8UqL1z3o7GV5XBcoEDeGKJ9pm9Qk,pubkeyhash,2011,4895797000000.0
8,16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,pubkeyhash,2011,4274894000000.0
9,1cXNTyXj4xPGopfYZNY5xfSM1EPJJvBZV,pubkeyhash,2011,4000000000000.0
10,16Ls6azc76ixc9Ny7AB5ZPPq6oiEL9XwXy,pubkeyhash,2011,4000000000000.0
11,12HddUDLhRP2F8JjpKYeKaDxxt5wUvx5nq,pubkeyhash,2011,4000000000000.0
12,1FngtAcZsLfK89MNe7TqzyqVtSype8TiVD,pubkeyhash,2011,3805708507373.0
13,18Hsgq92AUB1PYLU6MUMQXiwdebaDRo9oQ,pubkeyhash,2011,3800000000000.0
14,1HCnKPouxZkwyez9nDUMr4RcgHEs4mqqsx,pubkeyhash,2011,3499539000000.0
15,1MyGwFAJjVtB5rGJa32M6Yh46cGirUta1K,pubkeyhash,2011,2999999000000.0
16,1E6mijNx2xKzRt6KXiqZncUmybgYN4cn2X,pubkeyhash,2011,2985477000000.0
17,12fZ2HxkLjG9zn1u44XYsFFYKHM4A2zCea,pubkeyhash,2011,2324900000000.0
18,16rfUGQTa5WnigGjKqUAz7M8LdroRzMAU2,pubkeyhash,2011,2190098000000.0
19,16g2TW2hbFoov3DThSRBdnETaS94bFvq5v,pubkeyhash,2011,2030000000000.0
20,13Zv3za7BkWJZ3SGJ5wiV5gR4k96GYumZe,pubkeyhash,2011,2000000000000.0
21,12W9reeAnLN2WaDkc3B3qcf4xLSANoQCEh,pubkeyhash,2011,1997662234568.0
22,17dxkE9UQ2Q188XfJ4ekpKJn33vSrApNfK,pubkeyhash,2011,1748418486148.0
23,12uHQUnvPujBE21oxfRVz7dMpVkPfHoefo,pubkeyhash,2011,1700010000000.0
24,18A74qXB5y7z17RhJdR74xr1gurfEVxTFB,pubkeyhash,2011,1500000000000.0
25,19UzkDeJoMyewM3jgxb6LSRrhkGhq3hU4D,pubkeyhash,2011,1500000000000.0
26,1CnpeNmG8uw5e9PHtJSnqAbaauZhahUGqc,pubkeyhash,2011,1487499980000.0
27,1A6GpGtUEstGWE3kfRHLWvQfRkxbcaFP1b,pubkeyhash,2011,1444215502252.0
28,19ere2oJzJh81A5Q64SExDZYz54RvWHqZz,pubkeyhash,2011,1362836000000.0
29,1KX8EPDcziwbGaC7oDHDuKE9SfLWMmmbZy,pubkeyhash,2011,1305000000000.0
30,1FSGpYLfoRBQjjdqLJoMyiA4nCVHfLokQd,pubkeyhash,2011,1298101234567.0
31,1MHdm5XZMrfoZFoUktEaGhYevmdiXoc4x4,pubkeyhash,2011,1295000000000.0
32,1L2pMsyNXu4XtjExTVxPu7uVkGWGSJLXUB,pubkeyhash,2011,1148619819848.0
33,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,pubkeyhash,2011,1077051520822.0
34,1FpqQnKQCgDkJFMC94JL8FpRyHTZ3uRVZ1,pubkeyhash,2011,1068903444187.0
35,1LcQJThp3iskKggaQqLVPJiMj9WrKRUTkA,pubkeyhash,2011,1026464597400.0
36,15afExteDWPiMWfEj5WAjWPWaAQDZ8ki4a,pubkeyhash,2011,1020000000000.0
37,1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,pubkeyhash,2011,1000925101000.0
38,18k9tin39LKegFzHe8rxSgvJXDpuMriGJq,pubkeyhash,2011,1000000000001.0
39,14geRxy9nWw2Vf3JXboyfgAiLTacWtHM6D,pubkeyhash,2011,1000000000000.0
40,1NdCt5npsserKra9LxHCmfJk6F869xRXAB,pubkeyhash,2011,1000000000000.0
41,16TPVCpvtJ6FkV5xNKBp35aMo4BWFGxiEY,pubkeyhash,2011,1000000000000.0
42,1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,pubkeyhash,2011,1000000000000.0
43,1EyArywoLEhFto6uKWMxA9QKXJWLTNghsz,pubkeyhash,2011,1000000000000.0
44,1GyACVqHCeDGF5bn4FSQPwviuZsUTfHUAY,pubkeyhash,2011,1000000000000.0
45,14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,pubkeyhash,2011,1000000000000.0
46,1NW1wdXjyoWySeBbNvJ8nt5dkhKT99JGST,pubkeyhash,2011,1000000000000.0
47,145YHsQU7HMzkRnD5SBSuFAzQgCYnAnLkN,pubkeyhash,2011,1000000000000.0
48,1DJSiWg6Ci6DLmxZFjVNBKn9CcahLFx5gS,pubkeyhash,2011,1000000000000.0
49,1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,pubkeyhash,2011,1000000000000.0
50,1BAWVrN9gBS8erZ328RYsyiE7B8eEPAKmC,pubkeyhash,2011,1000000000000.0
51,1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,pubkeyhash,2011,1000000000000.0
52,1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,pubkeyhash,2011,1000000000000.0
53,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,pubkeyhash,2011,1000000000000.0
54,12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me,pubkeyhash,2011,1000000000000.0
55,1Le6MkiTvkorvC1JwYXzQUSfqA3ebzGW7N,pubkeyhash,2011,1000000000000.0
56,1MwfKa2K29eP88wBYqYZSRrfjn9AnpBxXs,pubkeyhash,2011,985100000000.0
57,1BbbK3s5ZLXewwxdAVF216WpPKYdphw4UA,pubkeyhash,2011,978000000000.0
58,1GD8Qh7ebmvdaB8Ampcq8qZqNPr78nzjSP,pubkeyhash,2011,947877000000.0
59,1MaDmMKDJSG2eQdKE7uM7g17CFc7etn47N,pubkeyhash,2011,944400000000.0
60,14HVYA9N5zbDSF2ERBMJx2N7NqhuhT8koi,pubkeyhash,2011,941890000000.0
61,1P1RiPAmgQxMvFZ5AbdN9m3K1zfSKgnRpU,pubkeyhash,2011,921028070000.0
62,1NoTNPjGtQPN3VX2as5vh747MZ6tKmQTeU,pubkeyhash,2011,908143602360.0
63,1BQg7VnGbZubSXZf7CYtJyzmzrLb89bNCJ,pubkeyhash,2011,900000000000.0
64,1ChDJ8MY3NU32DrbrL7teh2WK8fkmPPg4h,pubkeyhash,2011,879684981874.0
65,1e6AzmPF35S3JTE8QMXD3k7oczJ7QgCSa,pubkeyhash,2011,866916000000.0
66,1KwFmuK9ZxAq563rZb2kShqGZrGi3u2ria,pubkeyhash,2011,860272650000.0
67,1DgzSGFprGG4CcxdZPHeidSG7TKbgrATYx,pubkeyhash,2011,811100000000.0
68,149mQZ5f3Pd3SwvgoMx1RgyLwSAM29LE2A,pubkeyhash,2011,790065000000.0
69,198E3LyUJASmKA4PJvEHthEE62XbTuPZSL,pubkeyhash,2011,779900000000.0
70,1LjVAvbEPEhD37dbhdPzxLEePnYpA3bq8q,pubkeyhash,2011,777777777777.0
71,1NvWi35DV7MRLKTFcqhgyTwCrcjAqpKNHc,pubkeyhash,2011,750000000000.0
72,1ZTABNhD2bYDvFskVZGjwLrbEt8oZpy8g,pubkeyhash,2011,749592220067.0
73,1AAoyFmZuUbVpNUJFCCSJbZQSvSRm8vPad,pubkeyhash,2011,740000000000.0
74,1yw1UsPuoGv1yLvVwgR4YB5cabAA3Ez4X,pubkeyhash,2011,715147000000.0
75,1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf,pubkeyhash,2011,700000000000.0
76,1Lda9v62ugMRoZAEZ6Qd6G8ZPyopQ4Fahe,pubkeyhash,2011,692685000000.0
77,1DEudAAhTtCvxG8eqtzccuwBYLQ97DPD92,pubkeyhash,2011,692518000000.0
78,1NMLQ5radqEtVHTiiaNXtusYKfpUvmR5hp,pubkeyhash,2011,672379000000.0
79,1HpR9KKTxmZyNgsV6AW5m1mFNobdFQctGs,pubkeyhash,2011,666000000000.0
80,1GQnMbeEmUA9g6iypZYhUg4PKsZEswzAYy,pubkeyhash,2011,659200000000.0
81,1DDusF2Kjy5noqwYTmcezSADjXEJbxASsx,pubkeyhash,2011,655000000000.0
82,1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6,pubkeyhash,2011,651196000000.0
83,1CLtZP8TMnTtx4zwYTVQuP4imX9jd4RhZc,pubkeyhash,2011,650000000000.0
84,1GopNcNZfSnSGZQotU9uC8b1KKHMBePAjH,pubkeyhash,2011,623600000000.0
85,19aqdmiBCrDzJDRPcqwj3mxLjhHbcfjkJf,pubkeyhash,2011,610938000000.0
86,16KhnXr3coUDWNnM8TwmBM2Qx3xJHG9tjm,pubkeyhash,2011,600001000000.0
87,1MU3JFf39KTScR1XTGffisJF489pLyJ1ea,pubkeyhash,2011,600000000000.0
88,1Pm2PWb4r9kHnpPEnagKReDhCGwuWnqaDm,pubkeyhash,2011,600000000000.0
89,12rh2BJrhxowhUVkVYYAvqyAsjYmn9wDFs,pubkeyhash,2011,600000000000.0
90,1MfSt9pWdK8nDnKveYfK6dp6mmTMaJXqqB,pubkeyhash,2011,594596926802.0
91,1Ga2AnjMgiGdCPy3MfGeBpirfrVJ9MNR5J,pubkeyhash,2011,586532254933.0
92,1KCvjMmHw5sQ3qifRoeQ8Hz8dF4LnZc37Q,pubkeyhash,2011,559783975396.0
93,17m1oRCfHiG6y97Buats6yrFdhaZVHL4Jk,pubkeyhash,2011,550001554353.0
94,16xdLqz1DhmjxUsrN1X64h6TMd4JZZfSk7,pubkeyhash,2011,548600000000.0
95,18L2EhJmvHUmGVw6bvNS6pymyQfWLQGW8w,pubkeyhash,2011,547699748069.0
96,1riXWcwubWK8tnjm5Brg4FGs5b984UJuz,pubkeyhash,2011,543739079173.0
97,1LduJAzKpBZBxLGHNVo8YCnXs9Fzfuj8Fw,pubkeyhash,2011,540000490000.0
98,1EwH7LedkZv4mnzkpiHJ8bmuDZjLNs97xr,pubkeyhash,2011,535000000000.0
99,1FTeZDNbLCF5T6AQyFWSUNRKZgYgYgkHFz,pubkeyhash,2011,522471478537.0
