,address,type,balance
0,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,pubkeyhash,6142462000000
1,1Ff2xcJtfWWiNRCTUuTng6TJQm3g8h61Y2,pubkeyhash,2250000000000
2,1Ph1WL8gHPW1VShh55yJpRQE57wth6zSBm,pubkeyhash,1595435000000
3,1MxR5zEtu4cq3Sm7AtfpvpLyJwf4f4kJBi,pubkey,1000020000000
4,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,pubkeyhash,800000000000
5,15J5MZxBkbo88hfHbY96UEDdWWtTJKTBgj,pubkeyhash,550000000000
6,1N6cJEdLm7KSg1jRXTYKv7iYkRtzFLKNDH,pubkey,225000000000
7,1NAauy83Upy9yYv5zjcjk4hwPRJWnzvX52,pubkeyhash,105001000000
8,1PZwWEJe5YGx9bzJbEpgXiWLuWnyD2rjLA,pubkeyhash,100000000000
9,137zjnSXZs7Wdhg8zCoAJHz3NPgX8WtPPv,pubkeyhash,89565000000
10,1L2gKa3tPCVWaqS29eauXyCMKzkKLNfzKF,pubkeyhash,85000000000
11,1P2ZAuW9nUrFfwgVjfL2SA9sPXSruCfzp8,pubkey,80000000000
12,1EWbQNeNNiZcZyJcfQ6CQbnptHiU9pvVYr,pubkeyhash,69850000000
13,15BKWJjL5YWXtaP449WAYqVYZQE1szicTn,pubkey,55000000000
14,1PxeCXMZBuXHt4CqWWEQ7Kwgdyob9P955L,pubkey,50000000000
15,15oUEZFKAC8E8BTLt1s1jx4fPxumwB3ecr,pubkey,50000000000
16,1FBgZPF9ceV7JFDgvWzwJdPjdn6VFJqc5s,pubkey,40000000000
17,1289VwTpSuBnGWbB2DFPaNB78jYqCQbamX,pubkey,39900000000
18,1JSxDnLYD4XKTQ73N7in2M9XRovw5LANiu,pubkey,35004000000
19,19QKDUJtx9n7Vaga6nX1bVHdsnT4Khfyi6,pubkey,25000000000
20,1DCGxk3yoGbensojhxPsWJt3BEGDG5VrU8,pubkey,25000000000
21,1NithGmSgUGQdsYg8gH8WEYtk1ZLxyJBDt,pubkeyhash,22500000000
22,1LgXXqEzDa7E4RuZg8UuF15ru9Zur8j9GH,pubkeyhash,20000000000
23,1JCeMgVeDzLdxz3G5vRin2ydNxUp6E5yFf,pubkey,20000000000
24,1E87cVPLZ938w7vYEA1e9RWSc8mESPA3J5,pubkey,19800000000
25,15Ct3RxjiM1rf6UWcy8G6KuKxv8QwfuyVZ,pubkey,18800000000
26,1EQkvhEsewdmDuvNTSgvYafu79F8Q4B3CW,pubkey,15000000000
27,1NBNWXmmMCi9ZSNeC6jwCYVw5gKYpfqUZi,pubkey,15000000000
