,address,type,year,balance
59,1U1jTCGkQYRaDVStZdDHMFWUMoSJi4HSc,pubkeyhash,2010,942424905919.0
60,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,pubkeyhash,2010,926000000000.0
61,1Jfz35JognNZRLAKbp8BnCuUWMmExQotf7,pubkeyhash,2010,900000000000.0
62,1Lu18Yf1KXBCvQw4C9MGRkHyw3CW3W3UTP,pubkeyhash,2010,900000000000.0
63,1KCg9DuHYQgH7jkmLanCJioU3DrDawy4ab,pubkeyhash,2010,900000000000.0
64,167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,pubkeyhash,2010,899900000000.0
65,1MFA2FzeHgNRY5dGGiQtPxJx3LEKBit7UP,pubkeyhash,2010,891010000000.0
66,13uraL1Maba7obbhkdB4pjsqMyvqrcTeeD,pubkeyhash,2010,890000000000.0
67,17Drr5GZf7q4WGphHKg3uUxaesEcPw92FX,pubkeyhash,2010,873322000000.0
68,129GMPhks7k5bQnNJM4byLb4bE9nHCBSqP,pubkeyhash,2010,844900000000.0
69,1PPdLQSYf6yCZzq2REHpVN7nvYxsRyvNYn,pubkeyhash,2010,833333000000.0
70,1JGRGawZf1rZN291vFJe3SeTdr19tG5E1a,pubkeyhash,2010,800000000000.0
71,15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,pubkeyhash,2010,794106000000.0
72,1FQtCEEEiLuFTvhbx4Z5fda3GXV5xXzmfN,pubkeyhash,2010,754205000000.0
73,1Np76jjwkXE5eEyYPrPrpYde1qnfZkC3CX,pubkeyhash,2010,753000000000.0
74,1L3gCzSsw6VYx8gKaswp7tMPFni8shCbe9,pubkeyhash,2010,750000000000.0
75,18ShHDufPcxfNZr4rArogTUCF2GmkJiSCV,pubkeyhash,2010,737200000000.0
76,1LwhuPYdSGLxpEhtogRQSLM5i2CASWEvjN,pubkeyhash,2010,725000000000.0
77,1AkJeFNUhmXwQKsrXqE5WNpUhn21Qi3BEW,pubkeyhash,2010,720000000000.0
78,18hCbLkRR7NpvES4Ufn5JGLLmCgLNeCErT,pubkeyhash,2010,700142000000.0
79,1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF,pubkeyhash,2010,699900000000.0
80,16xdskMQrXmCredNtxsKN9mTpUZWmyQbH,pubkeyhash,2010,690000000000.0
81,16b3L5eiyFny9nggwmAjbtx6b4xjwJfu8y,pubkeyhash,2010,690000000000.0
82,1FjSGe2yeJhbFbygCcNiNsq4wgz7TyyNjN,pubkeyhash,2010,674263000000.0
83,1AQecMZgiHoynEk6nvLz83TXDhFazgpoRm,pubkeyhash,2010,670500000000.0
84,1LgsbKRKTcw7gYohUwntSUh6rtEWShxSH8,pubkeyhash,2010,670014000000.0
85,1EC7bX9TucqzKL4aCRQb5UhsgdxdSn2w4z,pubkeyhash,2010,667988000000.0
86,1F5iTDY3rxSnmcGabYje9pdsp51UNNgD9W,pubkeyhash,2010,662500000000.0
87,1HAJRJQQwnjSXco31bppN27tueMoVPVFNe,pubkeyhash,2010,660000000000.0
88,1MbcZkfjkWdEEeC9r5pq5XRBDRcKUCsg9h,pubkeyhash,2010,640000000000.0
89,1GNyLtivKQrL32S31WswWKVhSvUugGoq9S,pubkeyhash,2010,606274000000.0
90,19p9H8VoMKdDSTeQLKhK1KzvemYKmBJxvi,pubkeyhash,2010,605000000000.0
91,1AAe9AdkKcffFyrF7zPQYS3XDcRws8c3qk,pubkeyhash,2010,600000000000.0
92,1DYckEHrV5F9rwCTrSZ7HiZYKXjPMephMS,pubkeyhash,2010,585000000000.0
93,1FzXk5BaQ5ePWupGL6At2yhkkPjtXfC8L7,pubkeyhash,2010,567800000000.0
94,17eyJzNfgvXGxgF2EpabveZyFpe3XcRvL3,pubkeyhash,2010,560081000000.0
95,1KCNLT1tnsNZsrfddUA7VrqmytLfyjTToY,pubkeyhash,2010,520000000000.0
96,1912dTRENGVY39jGxj66LB8g9hzowzLw38,pubkeyhash,2010,500000000000.0
97,19g4fxfWwm8Fyj7qfVvm5mHuo8vDcAbHcw,pubkeyhash,2010,500000000000.0
98,1NBJb7RWkp6xEkst4jyzEia5QVKj4VK1Ah,pubkeyhash,2010,500000000000.0
99,16g5k7Dx5gqCsNdbfbRntXUnxGhDCpXwKU,pubkeyhash,2010,500000000000.0
