,address,type,balance
65,1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,pubkeyhash,1000000000000
66,12dUggmXPYsPVHaHr1DoW5J6bb6gvh4yZq,pubkeyhash,1000000000000
67,1NW1wdXjyoWySeBbNvJ8nt5dkhKT99JGST,pubkeyhash,1000000000000
68,14geRxy9nWw2Vf3JXboyfgAiLTacWtHM6D,pubkeyhash,1000000000000
69,1MwfKa2K29eP88wBYqYZSRrfjn9AnpBxXs,pubkeyhash,985100000000
70,1BbbK3s5ZLXewwxdAVF216WpPKYdphw4UA,pubkeyhash,978000000000
71,1GD8Qh7ebmvdaB8Ampcq8qZqNPr78nzjSP,pubkeyhash,947877000000
72,1MaDmMKDJSG2eQdKE7uM7g17CFc7etn47N,pubkeyhash,944400000000
73,14HVYA9N5zbDSF2ERBMJx2N7NqhuhT8koi,pubkeyhash,941890000000
74,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,pubkeyhash,926000000000
75,1P1RiPAmgQxMvFZ5AbdN9m3K1zfSKgnRpU,pubkeyhash,921028070000
76,1NoTNPjGtQPN3VX2as5vh747MZ6tKmQTeU,pubkeyhash,908143602360
77,1BQg7VnGbZubSXZf7CYtJyzmzrLb89bNCJ,pubkeyhash,900000000000
78,1U1jTCGkQYRaDVStZdDHMFWUMoSJi4HSc,pubkeyhash,899959000000
79,167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,pubkeyhash,899900000000
80,1ChDJ8MY3NU32DrbrL7teh2WK8fkmPPg4h,pubkeyhash,879684981874
81,1e6AzmPF35S3JTE8QMXD3k7oczJ7QgCSa,pubkeyhash,866916000000
82,1KwFmuK9ZxAq563rZb2kShqGZrGi3u2ria,pubkeyhash,860272650000
83,1DgzSGFprGG4CcxdZPHeidSG7TKbgrATYx,pubkeyhash,811100000000
84,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,pubkeyhash,800000000000
85,15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,pubkeyhash,794106000000
86,149mQZ5f3Pd3SwvgoMx1RgyLwSAM29LE2A,pubkeyhash,790065000000
87,198E3LyUJASmKA4PJvEHthEE62XbTuPZSL,pubkeyhash,779900000000
88,1LjVAvbEPEhD37dbhdPzxLEePnYpA3bq8q,pubkeyhash,777777777777
89,1NvWi35DV7MRLKTFcqhgyTwCrcjAqpKNHc,pubkeyhash,750000000000
90,1ZTABNhD2bYDvFskVZGjwLrbEt8oZpy8g,pubkeyhash,749592220067
91,1AAoyFmZuUbVpNUJFCCSJbZQSvSRm8vPad,pubkeyhash,740000000000
92,18ShHDufPcxfNZr4rArogTUCF2GmkJiSCV,pubkeyhash,737200000000
93,1yw1UsPuoGv1yLvVwgR4YB5cabAA3Ez4X,pubkeyhash,715147000000
94,1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf,pubkeyhash,700000000000
95,1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF,pubkeyhash,699900000000
96,1Lda9v62ugMRoZAEZ6Qd6G8ZPyopQ4Fahe,pubkeyhash,692685000000
97,1DEudAAhTtCvxG8eqtzccuwBYLQ97DPD92,pubkeyhash,692518000000
98,1NMLQ5radqEtVHTiiaNXtusYKfpUvmR5hp,pubkeyhash,672379000000
99,1AQecMZgiHoynEk6nvLz83TXDhFazgpoRm,pubkeyhash,670500000000
