,address,type,balance
0,3HyULbPVM739jPVk4i3PKZ4LibhYP1HsLc,scripthash,13417031811081
1,1JoktQJhCzuCQkt3GnQ8Xddcq4mUgNyXEa,pubkeyhash,12839464600000
2,39coweGgC8CPZ6hYL1BBEfc1zqbSfHsprW,scripthash,11500000770001
3,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,pubkeyhash,7995710993145
4,1HQ3Go3ggs8pFnXuHVHRytPCq5fGG8Hbhx,pubkeyhash,6947110322824
5,16ZbpCEyVVdqu8VycWR8thUL2Rd9JnjzHt,pubkeyhash,6665059415921
6,194DnvmLR2HULRvxUsVag8mn2fm7dA3U2B,pubkeyhash,6661230258284
7,1KiVwxEuGBYavyKrxkLncJt2pQ5YUUQX7f,pubkeyhash,6658322200390
8,1PnMfRF2enSZnR6JSexxBHuQnxG8Vo5FVK,pubkeyhash,6645206433635
9,1AhTjUMztCihiTyA4K6E3QEpobjWLwKhkR,pubkeyhash,6637880759963
10,1DiHDQMPFu4p84rkLn6Majj2LCZZZRQUaa,pubkeyhash,6623540920982
11,1EBHA1ckUWzNKN7BMfDwGTx6GKEbADUozX,pubkeyhash,6623373616959
12,14e7XAZbepQp9MXXzjNG3fNLoAUpaBAXHW,pubkeyhash,6620547171543
13,1PB4xXUFyy4kSNqroCBVaQuCuw9VcN3be4,pubkeyhash,6617069432414
14,18f1yugoAJuXcHAbsuRVLQC9TezJ6iVRLp,pubkeyhash,6616344347767
15,12WRnQR85ZUT7dhmaHBNL5dde2QLYieW6v,pubkeyhash,6601400021000
16,3Kg7Cmooris7cLErTsijq6qR1FH3cTiK2G,scripthash,6322504000000
17,3KBUuGko4H5ke7EVsq9B7PLK1c5Askdd7y,scripthash,5437799611000
18,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,pubkeyhash,5388005493692
19,16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,pubkeyhash,5100005620294
20,1B9KrM7bjhJ42qJSWr1KJrNTAP1SNGMpJu,pubkeyhash,5000046556118
21,12pCPrWvudnefJCtXQUBcm9z2NogtC3Rix,pubkeyhash,5000040300000
22,33vpLgKtNoHGHMpdwWsjPjyvbVxTVFPDED,scripthash,4870008931000
23,3LzDzKkatQRXuQ6UxTcWQLuwuhH5nt7TJc,scripthash,4808987678897
24,1MuYkciQTfRsU94ReAe5MiAfUpCrbLBcFR,pubkeyhash,4486421479835
25,1CaGxqCQv2ofqLf37HCUQoLujzRMaz74LK,pubkeyhash,4434112194935
26,1Jx3qqWN2RcbhwuAUEgFraRuJfBHdYKEs9,pubkeyhash,4400000000000
27,14j6jLececs66ZQ8ew6vTFNiEn2NupacWJ,pubkeyhash,4000032487302
28,15CVfJUC1LKn1GKZx6RM5UMbFfnTd8vTT4,pubkeyhash,4000000057500
29,15h6A2a3D31vRviBDdSpvhLtYJq3aePhdW,pubkeyhash,3550995365248
30,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,pubkeyhash,3100005131116
31,1EECyYDrjCBk39f2gKSsbcXLpRWu5pu1MF,pubkeyhash,3050000870400
32,16cTyJLWbXQz3UZ3sYjy6A6VGX4sAqiEo1,pubkeyhash,2815651316529
33,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,pubkeyhash,2815005015902
34,1Kf33BbrJDuAVC91w9ACtRgf6KJrLWSkHV,pubkeyhash,2616705114903
35,32YrU9f4KqvPTDrkHABhR8rVxJvHPQr4CG,scripthash,2570877511835
36,3Q9ovFSZ77r4UPfDNdCyJqaQznmzxWxDGU,scripthash,2450000083000
37,12JXuXqTyHiQbXmEMZ9PQ6BJ5SrLo8De2t,pubkeyhash,2413918130402
38,1JsVdtXZHKnuzUihEjCPyRm5EEcxRjWGEh,pubkeyhash,2300000970402
39,1Gnhy34EBtz9ftQdGZooGTpVE6E9wL2VZN,pubkeyhash,2174400830400
40,155PdjJJDhZRnJRBftqyVAqqXGhHxGUrxy,pubkeyhash,2158800000000
41,12fZ2HxkLjG9zn1u44XYsFFYKHM4A2zCea,pubkeyhash,2084417093403
42,3PGsdyp3SB4pVMGAZQAkddxf4w7fNE6tFz,scripthash,2079617678817
43,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,pubkeyhash,1941442392646
44,3GrPq7DBGXrEEeRv3uSokd3H7oxS3SnEco,scripthash,1922690023500
45,19vWUsLH7G6yQH484r3n1GodLEoLivWHJg,pubkeyhash,1820214703303
46,36PrZ1KHYMpqSyAQXSG8VwbUiq2EogxLo2,scripthash,1752136256657
47,17ywZpKfMjNWxuJaTBhVbGXjmVnJy27FMt,pubkeyhash,1519128506986
48,1LDWDufjU5ATbozDZY3uChb7oPAbDaiB7K,pubkeyhash,1500000850402
49,1LHgsBSi9fb4z6a73xvqm54RFpP31743s8,pubkeyhash,1467483875578
50,19ere2oJzJh81A5Q64SExDZYz54RvWHqZz,pubkeyhash,1428687840402
51,12tT4cSjRRsncwwv1YUKnbXuouaMfT5DnN,pubkeyhash,1403387814402
52,1KX8EPDcziwbGaC7oDHDuKE9SfLWMmmbZy,pubkeyhash,1360000839402
53,1FeDtFhARLxjKUPPkQqEBL78tisenc9znS,pubkeyhash,1279853555491
54,1CjPR7Z5ZSyWk6WtXvSFgkptmpoi4UM9BC,pubkeyhash,1205201584145
55,17Jj4eNGBUEdBJEorViEieZ8W87ELXKgu7,pubkeyhash,1203915715228
56,19tuxqhzgwC6B9hhLHDLJkocx8LaaCS56s,pubkeyhash,1200000950402
57,13d6ojEM4TjbX6KEc8DiLzkk7hLFKYxWDK,pubkeyhash,1200000000000
58,17UUsmejDsjJEtbRcotd289ADp7ZdanH5k,pubkeyhash,1156748458525
59,1L3bHFCgh9kEM1Bc89bRbozGBjfXqkBmkk,pubkeyhash,1111100021000
60,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,pubkeyhash,1077052361223
61,1FpqQnKQCgDkJFMC94JL8FpRyHTZ3uRVZ1,pubkeyhash,1068904284588
62,1FfdcppWbJ7FeQFznsjdLYNXdwMdoiTGSA,pubkeyhash,1068201802700
63,3FXFshYr97aQUizVEGwdCLNdDihWtqHsT9,scripthash,1066740000000
64,1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,pubkeyhash,1000926051402
65,1GaUYQmgfJXYJBcwhQjsDXxh5bqu8aWwYa,pubkeyhash,1000174200502
66,1Mg4i5e3YkM7WKFXmimzjgGjjiozQgGKwv,pubkeyhash,1000003520000
67,1MeCzxxB8eDd17DaocFLQaQtH8seVjNM67,pubkeyhash,1000003144500
68,19PPeuu4jPjqtefSQ2FDgKmNJ88Z5wiuJt,pubkeyhash,1000002357500
69,15jdxjFhXUsp2xuycmKnjw8yk1WsVon69c,pubkeyhash,1000002357500
70,1Gg9GGQWmRk1pp4vNkMqLaEiPVNdiNvz7E,pubkeyhash,1000002357500
71,1C57mRcDyPt8t716FPKqs42Dny2P3Eu3c1,pubkeyhash,1000001590500
72,16Z1jD3ev9LnPkTr9LuqcLztq5ZMB8KENz,pubkeyhash,1000001580500
73,18LpE3eaXgzUc7XGTNKCgZkD4EZN4NcAbK,pubkeyhash,1000001580500
74,145YHsQU7HMzkRnD5SBSuFAzQgCYnAnLkN,pubkeyhash,1000000887301
75,1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,pubkeyhash,1000000870401
76,12dUggmXPYsPVHaHr1DoW5J6bb6gvh4yZq,pubkeyhash,1000000870401
77,1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,pubkeyhash,1000000870401
78,1Du2jAQsBQnkkVZkN4oqC46tS78k7WMkVq,pubkeyhash,1000000860401
79,1JtpgqCf3SSeCeYWEDJjkfYFH7Ruhy4Vp1,pubkeyhash,1000000860401
80,1Le6MkiTvkorvC1JwYXzQUSfqA3ebzGW7N,pubkeyhash,1000000860401
81,12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me,pubkeyhash,1000000860401
82,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,pubkeyhash,1000000860401
83,1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,pubkeyhash,1000000850401
84,1KE2X6GeHPa4NMz22LCabdXHaL6Cva7GC5,pubkeyhash,1000000850401
85,14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,pubkeyhash,1000000850401
86,18k9tin39LKegFzHe8rxSgvJXDpuMriGJq,pubkeyhash,1000000840402
87,1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,pubkeyhash,1000000840401
88,1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK,pubkeyhash,1000000803500
89,189ivm7yVJrktRWE7KwcxrU27U3SMCh6mp,pubkeyhash,1000000803500
90,1M39YivicDwfXfv8ocStsoMpHsxKX5TmLZ,pubkeyhash,1000000036500
91,1G1AndHMczVQYLGfYJzqkDjXrFifpMsTaZ,pubkeyhash,1000000026500
92,39T3BBsiKxeeu7PebckN8ueb7F84iegoZL,scripthash,1000000000000
93,39vcJrm9wEfxujZ6d33E2gNpepCsz8NtR2,scripthash,998814133350
94,3NqBwNvG6HXcXUdDm2EJgGA3SPWYTf2dw5,scripthash,998813772042
95,16qpcoGffkGFdbe7qbCWrwyGvSt7vSgvCc,pubkeyhash,988299891000
96,1BnkEt2ceoVhnQVrqeAzigcroQ6MVyxFey,pubkeyhash,979127140250
97,1GD8Qh7ebmvdaB8Ampcq8qZqNPr78nzjSP,pubkeyhash,947877036501
98,16HC2oNNjmhXgGqf4YYZwSfRK4meVpAGm7,pubkeyhash,942478134351
99,1GZwCeoCyU7brDfayRiXLP6bnVDwyvaegP,pubkeyhash,926480812016
